fecha,0_a_9,10_a_19,20_a_29,30_a_39,40_a_49,50_a_59,60_a_69,70_a_79,80_a_89,90+,femenino,masculino,importado,asociado,total,dia
2020-03-06,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
2020-03-09,0,0,0,1,0,1,0,0,0,0,1,1,2,0,3,3
2020-03-11,0,0,4,0,0,1,0,0,1,0,4,2,3,3,9,5
2020-03-12,0,0,0,2,0,0,1,1,0,0,4,0,3,1,13,6
2020-03-13,0,0,0,1,1,0,1,0,0,0,2,1,3,0,16,7
2020-03-14,0,1,3,1,0,2,0,1,0,0,4,4,4,4,24,8
2020-03-15,0,0,8,1,3,5,1,3,0,0,9,12,14,7,45,9
2020-03-16,0,0,2,4,3,1,2,0,0,0,5,7,7,5,57,10
2020-03-17,0,1,7,4,2,2,1,1,0,0,7,11,12,6,75,11
2020-03-18,1,1,2,4,4,6,0,0,0,0,8,10,9,9,93,12
